book_per_share,cash_per_share,cluster_id,current_ratio,debt_to_equity,div_payout_ratio,marketcap,operating_margin,pb,pe_forward,peg,profit_margin,ps_t12m,roa,roe,ticker
29.213,12.978,1,2.474,205.872,0.1289,13022810112,0.42539,29.213,7.7000003,0.86,0.35656,0.2535372,0.10998999,0.57571,SUZ
29.424,3.033,1,1.774,98.547,0.33150002,2202503168,0.106000006,29.424,15.262412,4.23,0.042680003,0.98846745,0.03889,0.06293,EPC
18.534,3.818,1,1.319,184.882,0,3846117888,0.03455,18.534,7.9356723,1.58,0.00024000001,0.18457231,0.019650001,0.00261,GT
26.584,11.341,1,4.113,86.535,0.1583,41090387968,0.1456,26.584,12.247663,-0.94,0.10204001,1.3332205,0.08575,0.24169001,PCAR
17.304,15.496,1,8.913,1.695,0,9084191744,-0.10943,17.304,-1153.3333,-8.67,-0.09351,19.478466,-0.074039996,-0.11953,INSP
9.932,0.257,1,0.867,91.011,0.6386,902321792,0.14524001,9.932,-255.50002,36.26,0.36931,4.1896935,0.01031,0.08701,RPT
11.942,3.173,1,0.584,147.37,0,205321904,0.38731,11.942,16.60606,-5.41,0.16917999,0.3014966,0.12887,0.32202,GTE
9.628,2.876,1,3.815,16.539,0,2272827136,-0.09819999,9.628,-53.45556,-2.41,-0.108100004,6.5068617,-0.03671,-0.08229,ATRC
46.394,4.067,1,2.014,79.991,1.07,3639229440,0.29725,46.394,22.297102,0.22,0.21,3.2369192,0.0194,0.0468,KRC
19.349,2.446,1,1.64,64.281,1.1888,1895788160,0.35656,19.349,4.271462,-0.4,0.33953997,1.4579532,0.08182,0.21746999,SBLK
75.89,12.203,1,1.963,258.206,0.1584,120789729280,0.20798999,75.89,13.827341,1.11,0.14998999,2.0245671,0.08502,0.43096,DE
2.602,1.02,1,5.562,4.908,0,28538240,-9.216,2.602,-0.9756098,0,0,11.096088,-0.06923,-0.1193,AQB
2.277,3.381,1,1.128,432.144,0,14283630592,0.18517,2.277,11.114584,1.76,-0.039219998,1.0984029,0.04067,-0.08401,AES
3.542,3.635,1,8.369,5.472,0,101586360,-0.6371,3.542,-1.8252428,0,-0.62096,1.2388581,-0.14036,-0.25027,JNCE
40.645,25.74,1,1.108,106.673,0.078200005,4377421312,0.18365,40.645,6.629541,0.41,0.13795,1.3424728,0.08081,0.31059,CPA
39.096,1.318,1,2.402,56.808,0,3568826880,0.085109994,39.096,10.951589,2.47,0.0543,0.77265733,0.07003,0.1312,ASGN
58.699,1.518,1,0.772,52.334,0,14333845504,0.083979994,58.699,14.471616,6.28,-0.02348,1.3232015,0.02123,-0.01878,TAP
37.609,2.209,1,2.401,74.211,0,7427123712,0.10604,37.609,14.688807,-14.01,0.06905,1.7205198,0.055219997,0.12956999,GNRC
13.701,0.459,1,0.671,130.621,0,3901268224,0.04183,13.701,16.059866,0.88,-0.04677,3.6709733,0.01055,-0.06977,BLKB
42.179,5.2,1,3.119,74.091,0.4789,11908822016,0.16886,42.179,15.858682,-1.26,0.1161,1.4317102,0.10847,0.25625,PKG
51.37,3.557,1,1.516,21.72,0,2872514048,0.107889995,51.37,9.204082,0,-0.01365,0.06535422,0.057340004,-0.01725,HMY
11.472,1.518,1,0.647,259.387,0,736358784,0.102019995,11.472,11.097632,1.29,0.05192,0.89115185,0.04758,0.20021999,SP
33.466,14.113,1,3.714,45.189,0.22860001,397326976,0.0395,33.466,3.8387978,0.36,0.019129999,0.19045487,0.01794,0.054980002,VHI
1.892,0.279,1,0.71,258.498,0,2856401408,0.25831,1.892,5.858491,0.32,0.15546,1.439643,0.065910004,0.43885,KOS
1.456,0.313,1,1.606,46.9,0,170399728,-0.00261,1.456,25.25,1.23,-0.05006,0.55277383,-0.0017,-0.11933,CRNT
9.668,1.245,1,1.294,130.951,0,4959983104,0.09257,9.668,71.75206,4.85,0.047080003,4.45378,0.047259998,0.11196,CWST
28.605,6.375,1,2.255,1.483,0,305630464,0.34741002,28.605,3.0105262,0,0.33862,0.078722,0.31335,1.5479,JFIN
10.673,1.044,1,0.425,271.234,0.33330002,10141517824,0.20621,10.673,17.15285,1.56,0.12189,2.5196524,0.03368,0.28361,SCI
29.572,3.771,1,6.113,244.616,0,908739392,0.20444,29.572,18.125002,-0.4,0.02104,1.031031,0.02559,0.02293,PRAA
56.69,143.465,1,1.466,72.415,0,16208565248,0.04664,56.69,12.014693,0.91,0.02713,0.5142964,0.07141,0.28116,MOH
53.174,30.933,1,1.081,38.196,0.2756,232054456320,0.03492,53.174,33.76209,4.54,0.02548,0.985612,0.07868,0.27265,COST
10.619,0.709,1,3.077,65.176,0.2567,5498950656,0.18200001,10.619,9.127219,3.29,0.15553,1.7355201,0.10328,0.26231,GIL
7.942,3.107,1,0.955,56.238,1.0341,3378848256,0.02895,7.942,8.654322,0,0.0038400001,0.060348433,0.03336,0.09631,PAGP
50.71,2.034,1,2.631,72.344,0.1244,4388085248,0.04579,50.71,8.467372,0.61,0.03272,0.16649963,0.068909995,0.19396,AVT
45.152,0.103,1,0.646,149.674,0.6198,25144530944,0.19701,45.152,15.467812,2.43,0.115159996,1.9934351,0.03004,0.094510004,ES
12.77,4.112,1,1.262,36.236,0,2338739200,0.090509996,12.77,12.290541,1.41,0.01988,2.5959885,0.02296,0.014789999,VRNT
28.638,9.752,1,4.816,54.707,0.3036,2815800064,0.17337999,28.638,21.53938,-20.73,0.08956,2.6568813,0.07011,0.10844,AIN
10.619,12.137,1,0,0,0.437,514589312,0.51488,10.619,7.469026,1.04,0.36308998,2.5733454,0.01324,0.116330005,HTBK
74.307,4.351,1,0,0,0.3709,5599277056,0.60046,74.307,10.382868,1.22,0.45538,4.83937,0.01385,0.079569995,PB
9.095,2.667,1,1.012,309.005,0,5978221056,0.08214,9.095,16.807817,10.91,0.02483,0.7732792,0.05066,0.1274,XPO
2.24,1.528,1,1.721,266.909,0,235920144,0.05341,2.24,8.604651,11.37,0.03837,0.72587913,0.04131,0.18031,STKS
19.964,2.699,1,0.727,93.72,0,12958844928,0.3042,19.964,-133.59091,-6.08,-0.0359,2.628036,0.0152199995,0.010980001,BEP
23.006,2.845,1,2.16,30.066,0.0506,26099564544,0.15504,23.006,21.797297,2.25,0.106639996,4.203776,0.039979998,0.070539996,IR
42.838,47.218,1,1.435,72.833,0,7420958720,-0.33769,42.838,-72.791664,-539.48,-0.26661,0.33862957,-0.10406999,-0.31588,BILI
986.067,191.777,1,1.249,18.149,0,605005696,0.1331,986.067,-26.67114,0,0.08891,1.6218469,0.03461,0.05549,BH
4.833,0.278,1,2.581,28.775,0,386280928,0.03182,4.833,16.214285,0,-0.02113,0.46030432,0.02322,-0.0402,NR
50.452,0.186,1,0.687,49.547,1.0057,14951715840,0.092180006,50.452,16.663794,3.42,0.08248,1.8110121,0.01174,0.03002,AGR
4.319,0.148,1,1.183,203.12,0,1225789952,0.09241,4.319,6.4935064,0.21,0.026819998,0.41585726,0.02701,0.06792,GEL
43.462,0.262,1,2.808,66.126,2.1035001,41329098752,0.39499,43.462,42.631943,2.02,0.25768998,11.898967,0.01802,0.03269,O
31.786,2.27,1,0.753,170.895,1.8542,44580732928,0.29062998,31.786,14.259358,1.53,0.07053,2.4566448,0.03197,0.046350002,D
11.484,3.281,1,1.345,112.705,0,2007609088,0.029860001,11.484,35.708332,5.03,0.01482,0.98409224,0.01642,0.03274,EYE
2.888,0.128,1,1.832,30.874,0,3438105,-0.09645,2.888,-1.4655173,0,-0.09588,0.07928608,-0.073699996,-0.19590999,DYNT
12.327,6.784,1,6.785,12.959,0,1046363392,-1.02499,12.327,-5.812698,-0.03,-0.93315005,4.5924754,-0.15564,-0.27131,TWST
34.383,9.189,1,2.991,64.083,0,5393345024,0.29279,34.383,8.502735,-3.14,0.21537,1.4117485,0.28054002,0.69668,ATKR
12.01,0.998,1,4.045,25.083,0.1908,12357229568,0.24805,12.01,32.568462,3.63,0.24146,10.997792,0.071100004,0.15090999,TECH
2.247,2.524,1,1.135,405.521,0.1263,597274688,0.44462,2.247,3.05,0,0.22351,0.6076788,0.28464,4.71342,GPRK
17.511,3.246,1,0,0,1.3158001,326911648,0.13485,17.511,12.5630245,0,0.1078,2.1553857,0.00794,0.04203,WSBF
19.812,4.634,1,2.015,54.277,0.6,27157082112,0.12267,19.812,31.86517,1.9,0.06529,4.7660728,0.05407,0.10949001,XYL
40.089,1.528,1,2.316,12.704,0.315,25213276160,0.24712999,40.089,22.566372,-4.61,0.39966,4.2553086,0.03455,0.13137999,AEM
28.312,9.057,1,0.925,111.057,3.675,8766782464,0.08778,28.312,33.555374,2.67,0.00887,4.6304245,0.03287,0.01314,MORN
59.457,5.019,1,1.793,315.808,0.47849998,4412499968,0.26511,59.457,18.142235,1.55,0.12159,3.4065468,0.02151,0.075679995,GATX
31.815,0.134,1,1.078,29.811,0.5833,4916390400,0.39911,31.815,41.879433,4.59,0.70315003,17.140553,0.02202,0.08667,TRNO
15.621,16.785,1,0.958,163.255,0.42169997,18983854080,0.14251,15.621,12.183099,4.78,0.09567001,1.3254937,0.049650002,0.36571,OMC
8.534,0.286,1,1.211,3.526,0,906867968,0.15426,8.534,4.3722224,-0.47,0.01334,0.63837373,0.11052,0.0207,PUMP
20.235,0.82,1,7.275,74.787,6.3393,901714816,0.22506,20.235,33.28155,0,0.09443,8.894932,0.01731,0.01983,CHCT
19.395,1.457,1,1.894,90.186,1.1187999,498768448,0.69995004,19.395,9.504762,2.86,0.38589,4.85774,0.04835,0.081599995,FDUS
0.211,0.007,1,0.402,43.359,0,59655060,-1.50129,0.211,-2.7142859,0,-2.0364301,3.0185225,-0.2923,-1.08933,PHUN
7.596,5.432,1,1.293,3.047,0,661628992,0.0577,7.596,17.300001,0,0.03938,0.52360225,0.08922,0.27791,IDT
2.925,0.271,1,2.217,19.249,0,74631800,-0.12434,2.925,-6.77,0,-0.35153,0.25907344,-0.04257,-0.26623,VFF
3.037,0.965,1,1.251,29.143,0.595,1112363008,0.2932,3.037,38.96552,0,0.20204,7.4355817,0.19073,0.38712,NRC
11.831,0.393,1,1.534,160.086,0.7629,34109861888,0.40386,11.831,8.849351,1.22,0.36310002,3.0490625,0.0791,0.31456,MPLX
7.881,6.246,1,1.615,107.183,0.24620001,7652784128,0.21768999,7.881,32.0,2.22,0.13238,6.0947957,0.12981,0.33644,WWE
17.909,7.744,1,2.727,187.022,0.1529,3600554496,0.12866001,17.909,14.637414,2.56,0.08713,1.3132749,0.12845999,0.53354,IBP
21.82,15.337,1,0,0,0.17909999,665453632,0.26343,21.82,7.6875005,0,0.22227,2.1713996,0.0078100003,0.091450006,AMTB
130.377,126.082,1,0,0,0.16440001,42025390080,0.27866,130.377,8.552447,-1.54,0.21903,1.5556316,0.01306,0.10661,COF
2.628,2.596,1,8.299,19.158,0,62418388,-38.39589,2.628,-0.78260875,0.06,0,19.457104,-0.30259,-0.60243,FIXX
49.461,3.348,1,1.798,79.321,0.3362,7043257856,0.10316,49.461,11.067428,1.14,0.06751,0.85987765,0.07004,0.16781001,INGR
19.66,10.702,1,3.278,2.938,0,1056827648,0.12365,19.66,10.327273,0,0.13633999,1.3823305,0.03418,0.08538,HOLI
3.891,9.017,1,0.995,40.021,0,51165528,-0.30778,3.891,18.65,0,-0.26128,0.14909151,-0.20208,-0.87924004,LEJU
30.276,10.767,1,0,0,0.6154,2663675648,0.42132,30.276,8.739726,1.21,0.26568002,2.4243884,0.00901,0.08844,FIBK
32.34,3.488,1,1.111,36.077,0.3051,1507251968,0.00501,32.34,9.6653385,2.24,0.00187,0.025485003,0.02395,0.05667,INT
2.875,3.293,1,1.253,388.763,0,1313372416,0.26358,2.875,11.99187,0.69,0.14495,1.6267192,0.07918,0.50126,EVRI
31.748,4.053,1,1.593,57.846,0.1667,11390527488,0.09387,31.748,8.336192,0.68,0.059660003,0.7071787,0.05593,0.13744001,BWA
27.026,16.656,1,0,0,0.113400005,397706912,0.35997,27.026,9.014035,0.89,0.27517,2.0131452,0.010620001,0.123950005,EQBK
4.318,1.339,1,2.041,143.502,0,327034144,0.01705,4.318,8.723215,0.85,-0.01725,0.32707077,0.02003,-0.12866001,CVGI
15.977,6.15,1,2.469,61.182,0,72291888,0.00211,15.977,-20.4,-0.29,-0.20966999,0.120231986,0.00114,-0.32911,APEI
5.394,3.86,1,2.847,11.02,0,1191278720,0.05763,5.394,19.792683,1.15,0.04583,1.0854208,0.06598,0.13661,RVLV
11.272,1.764,1,3.938,1.674,0.32369998,2741005568,0.12475,11.272,-19.553846,0,0.10913,3.869154,0.05435,0.099,TR
1.954,1.195,1,3.926,11.233,0,194163376,-0.32949,1.954,-1.0462962,0.07,-0.52761,0.80557364,-0.090670004,-0.37952998,SGMO
21.267,1.28,1,1.917,70.326,0.25059998,14495136768,0.113400005,21.267,12.438073,0.4,0.08957,1.1328751,0.071729995,0.19823,LKQ
12.873,0.231,1,0.664,80.525,0,2751220480,0.24231,12.873,27.045454,5.62,-0.23997,5.170155,0.014090001,-0.0403,SBRA
141.6,15.334,1,1.919,119.743,0,4776048128,0.08132,141.6,7.385614,-5.16,0.0623,0.31620243,0.095699996,0.35973,ABG
15.261,3.768,1,15.221,24.182,0,2423232000,0.13672,15.261,5.393617,1.19,0.06427,0.32448205,0.00691,0.05219,GNW
34.227,14.296,1,0,0,0.49150002,4285503744,0.48946998,34.227,12.215385,1.47,0.37736,4.081016,0.013309999,0.08613,UBSI
11.531,8.354,1,0,0,0,190497200,0.41374,11.531,8.67742,0,0.32594,3.2692719,0.00856,0.09378,FVCB
13.572,4.659,1,0,0,0.3968,173110208,0.20357999,13.572,7.4545455,1.16,0.17296,1.554454,0.00678,0.07877,CBAN
7.976,0.82,1,3.404,37.309,0,187347936,-0.01475,7.976,8.416666,0.59,-0.115839995,0.3778212,-0.01035,-0.26346,VRA
32.208,0.124,1,1.02,124.229,0.66300005,4702558208,0.14879,32.208,16.009869,4.38,0.0892,1.6982876,0.025910001,0.08486,POR
7.677,0.121,1,1.038,199.521,0,9506923520,0.25398,7.677,19.911018,0.52,0.22121,4.2123437,0.062480003,0.17764999,WSC
5.737,1.154,1,1.279,115.878,0,225453584,-0.01441,5.737,12.720588,3.79,-0.03825,0.57060534,-0.01,-0.11103,FRGI
14.433,8.694,1,8.994,3.359,0,351791328,-0.66159,14.433,-3.9818733,0,-0.47114,2.3110108,-0.14448,-0.18330999,CSTL
10.85,0.579,1,2.088,17.193,0,263713168,0.05402,10.85,5.273632,0.79,0.04203,0.41051242,0.05633,0.10487001,RNGR
7.585,0.824,1,1.175,44.013,0.205,400164736,0.22413999,7.585,5.061798,0.72,0.17296,0.6933269,0.15434,0.33905998,METC
7.708,0.293,1,1.265,215.912,0.72199994,10442297344,0.39858,7.708,8.510971,2.59,0.33667,3.2355077,0.071279995,0.35846,WES
25.908,4.058,1,1.038,56.752,0,24185837568,0.04107,25.908,13.485269,1.48,0.03663,0.7825504,0.03762,0.12862,CBRE
1.655,6.989,1,1.774,219.088,0,894939968,-0.13531,1.655,-55.9375,-0.42,-0.17628999,3.1627119,-0.02488,-0.30297002,EB
15.079,5.167,1,1.961,13.89,0.3133,7911959040,0.1197,15.079,14.311891,-12.36,0.08567,1.1081729,0.18221001,0.40094003,RHI
1.65,3.794,1,1.449,233.218,0,165343344,-0.414,1.65,449.0,-0.01,-0.18128,1.1357247,-0.08918,-0.40930998,VERI
45.782,16.163,1,0,0,0.2504,643987328,0.43817002,45.782,9.5142355,1.55,0.33745998,2.7364125,0.014249999,0.13957,GSBC
5.314,3.989,1,1.673,483.625,0,946691840,0.0343,5.314,9.517647,0.88,0.00993,0.16154875,0.02248,0.105229996,AXL
8.313,7.003,1,0.196,763.678,0,98472448,0.90258,8.313,6.1379313,-1.4,-0.19808,1.8765593,-0.007900001,-0.083859995,EARN
544.894,195.862,1,1.145,67.135,3.3941,18655358976,0.1279,544.894,14.888514,3.2,0.08611,0.08009963,0.066599995,0.16825001,KOF
19.826,1.508,1,2.635,103.471,0,1607904640,0.15535,19.826,5.291985,1.97,-0.00316,0.5220797,0.11512,-0.00861,VSTO
3.704,6.381,1,0.822,117.81,0,10897678336,-0.0057300003,3.704,20.093283,1.06,-0.02686,4.2098556,-0.0032499998,-0.12662,DOCU
8.159,6.415,1,6.534,0,0,5069324288,-1.08882,8.159,370.75003,-3.25,-1.00766,19.000822,-0.15969,-0.28017,AI
7.452,0.1,1,1.751,51.939,1.7142999,146595120,-0.00754,7.452,-5.9166665,0,0.04753,0.90986186,-0.00059,0.00995,FSP
17.552,0.557,1,3.157,81.57,0,1507990656,0.028280001,17.552,90.5,36.56,-0.13348,5.1712937,0.00119,-0.03796,AKR
-0.204,2.439,1,1.014,269.408,0,506876608,0.05993,-0.204,22.118181,4.17,0.02589,0.41864955,0.04192,0.1612,VVI
46.31,2.53,1,1.703,111.453,0,292345664,0.026919998,46.31,5.6894865,1.07,0.020480001,0.12453639,0.02595,0.08182,GCO
10.749,0.823,1,2.519,112.683,0,1632466048,0.11991999,10.749,12.2466955,1.13,0.07169,1.0810168,0.07247,0.17243,PGTI
1.889,1.54,1,3.392,33.596,0,192290976,-0.40368,1.889,-3.031579,-0.18,-0.41169998,1.6543721,-0.12938,-0.33622003,CDXS
42.606,16.337,1,1.261,34.28,0,4230854144,0.38092,42.606,14.382979,7.1,0.0020299999,0.4199091,0.05896,0.00092,STNE
14.516,11.831,1,4.088,69.739,0,3691323392,0.27431,14.516,6.1491933,-0.88,0.14363,2.0908232,0.0418,0.077,WB
15.898,0.202,1,0.456,71.098,2.4348,4267221504,0.19188,15.898,61.699997,-14.64,0.080299996,6.6798077,0.01189,0.0141900005,IRT
61.815,91.248,1,0,0,0.1554,4430005760,0.40415,61.815,7.4067383,1.63,0.35436,1.4951754,0.0153,0.2297,BPOP
0.852,0.195,1,1.486,48.408,0,106927320,-2.20311,0.852,-5.7666664,0,0,4.6228848,-0.29784,-1.14782,REKR
21.498,0.104,1,0.499,67.118,0,2872743680,0.58756,21.498,10.08721,0.26,0.41140997,0.7925305,0.16073,0.48599997,CNX
84.177,8.34,1,1.433,14.464,0.3116,297951068160,0.18396999,84.177,10.928422,-1.5,0.1528,1.2724035,0.10665,0.2337,CVX
55.216,7.463,1,1.588,52.196,0.074200004,9872342016,0.108669996,55.216,8.989093,1.23,0.07297,0.742326,0.08732,0.24855,AGCO
17.972,8.603,1,4.191,12.33,0,4530963968,0.18412,17.972,16.668015,1.48,0.17489,2.8106093,0.07654,0.16073999,TSEM
23.669,6.037,1,0,0,0.4089,1373014272,0.55062,23.669,14.8324175,1.48,0.43942,5.776078,0.01609,0.17249,LKFN
2.469,2.121,1,4.784,1.376,0,331077728,-0.78156996,2.469,-11.313433,0.1,-0.98477995,4.412487,-0.22315,-0.55702996,YMAB
78.54,13.523,1,1.899,35.659,0.0508,26772555776,0.38144,78.54,10.529303,0.21,0.41891998,3.0518284,0.14433,0.49183998,ALB
