MPID,Description
MATX,"MATRIX CAPITAL GROUP, INC."
MAXI,MAX INTERNATIONAL BROKER/DEALER CORP.
MAXM,MAXIM GROUP LLC
NOLL,MAXWELL NOLL INVESTMENT ADVISORS
MXSI,"MAXWELL SIMON, INC."
MAYC,MAYFAIR CAPITAL MARKETS
MBTS,MB TRADING
DRSC,MBSC SECURITIES CORPORATION
MWRI,"MCADAMS WRIGHT RAGEN INC.,"
PAGE,"MCCLENDON, MORRISON & PARTNERS, INC."
MCCL,MCCLURG CAPITAL CORPORATION
MCTY,MCCOURTNEY-BRECKENRIDGE & CO.
TMCD,"MCDONALD PARTNERS, LLC"
MCLF,MCL FINL GRP
MMAN,MCMAHAN SECURITIES CO. L.P.
MCME,MCMILLION SECS INC
MCNA,MCNALLY FINANCIAL SERVICES CORPORATION
MDBC,MDB CAPITAL GROUP LLC
MEAN,"MEANS INVESTMENT CO., INC."
WMEI,"MEESCHAERT CAPITAL MARKETS, INC."
MELN,"MELLIN SECURITIES, INC"
MLVN,"MELVIN SECURITIES, LLC"
MERC,MERCADIEN SECURITIES
CICI,MERCANTIL COMMERCEBANK INVESTMENT SERVIC
MERQ,"MERCATOR ASSOCIATES, LLC"
MCLL,MERCHANT CAP
MSLC,MERCOR SECURITIES LLC
JPOD,"MEREDITH WHITNEY SECURITIES, LLC"
MERP,"MERIDIAN EQUITY PARTNERS, INC."
MEFG,MERITUS FINANCIAL GROUP
MERL,"MERLIN SECURITIES, INC."
MLIN,"MERLIN SECURITIES, LLC"
RLIN,"MERLIN SECURITIES, LLC"
MGSI,MERRILL LYNCH GOVERNMENT SECURIITIES INC
BOFA,"MERRILL LYNCH, PIERCE, FENNER & SMITH IN"
MLCO,"MERRILL LYNCH, PIERCE, FENNER & SMITH IN"
NBII,"MERRILL LYNCH, PIERCE, FENNER & SMITH, I"
MLMA,"MERRILL,LYNCH,PIERCE,FENNER & SMITH, INC"
MERR,"MERRIMAC CORPORATE SECURITIES, INC."
MERI,"MERRIMAN CAPITAL, INC."
MERG,"MERRION SECURITIES, LLC"
MERS,"MERRION SECURITIES, LLC"
MSRO,"MESIROW FINANCIAL,INC."
MSII,METLIFE SEC INC
MYRS,MEYERS ASSOCIATES L.P.
MYLG,"MEYERS ASSOCIATES, L.P."
MANS,MF GLOBAL INC.
MFRS,MFR SEC INC
MHAF,MHA FINANCIAL CORP
MSIM,"MICHIGAN SECURITIES, INC."
MACC,MID ATLANTIC CAPITAL CORP
MIDA,MID-ATLANTIC SEC INC
MIOH,MID-OHIO SECURITIES CORPORATION
MFSI,"MIDAMERIA FINANCIAL SERVICES, INC."
MDGS,"MIDDLEGATE SECURITIES, LTD"
MIDK,MIDKIFF & STONE CAPITAL GROUP
MIDS,"MIDSOUTH CAPITAL, INC."
MSTC,MIDWESTERN SEC TRADING CO LLC
MDWD,MIDWOOD SECURITIES INC
MIFI,"MILKIE/FERGUSON INVESTMENTS, INC."
MADV,"MILLENNIUM ADVISORS, LLC"
MITR,MILLER TABAK ROBERTS SEC LLC
MTCO,"MILLER, TABAK & CO."
MVII,MINNESOTA VALLEY INVESTMENTS
MISL,MISCHLER FINL GRP INC
MUFG,MITSUBISHI UFJ SECURITIES (USA)
TKYO,"MITSUBISHI UFJ SECURITIES (USA), INC."
MZHO,MIZUHO SEC USA INC
MKGF,"MKG FINANCIAL GROUP, INC."
MMCS,MMC SECURITIES CORP.
GRPS,"MML INVESTORS SERVICES, LLC"
MMRI,"MMR, INC."
MOLO,MOLONEY SEC CO INC
MOSE,"MOLONEY SECURITIES COMPANY, INC."
MNRC,"MONARCH CAPITAL GROUP, LLC"
MFCA,MONARCH FINANCIAL CORPORATION OF AMERICA
MONX,"MONEX SECURITIES, INC."
MNCC,MONEY CONCEPTS CAPITAL CORP
MYMK,MONEY MARKET 1 INSTITUTIONAL INV DEALER
MWCC,"MONNESS CRESPI HARDT & CO., INC."
MONR,"MONROE SECURITIES, INC."
MOJO,MONTAG & JOSELGAN
MONA,MONTECITO ADVISORS
MORF,"MONTECITO ADVISORS, INC."
MCIN,MOORS & CABOT INC.
MCBT,"MOORS & CABOT, INC."
MJCO,"MORGAN JOSEPH, LLC"
MSCO,"MORGAN STANLEY & CO., INCORPORATED"
DEAN,MORGAN STANLEY SMITH BARNEY
MSPW,"MORGAN STANLEY SMITH BARNEY, LLC"
MSSB,"MORGAN STANLEY SMITH BARNEY, LLC"
MWSI,"MORGAN WILSHIRE SECURITIES, INC."
MOKE,"MORGAN, KEEGAN & COMPANY, INC."
MCFM,"MORTON CLARKE, INC."
MVSC,"MOUNTAIN VIEW SECURITIES, INC."
MFGI,MOWELL FINL GRP INC
MTLE,MTL EQUITY PRODUCTS CO
MTBK,MULTI-BANK SECURITIES INC
MULT,MULTI-FINANCIAL SECS CORP
MCMG,MUNICIPAL CAPITAL MARKETS GROUP INC
MWMS,"MUREX CAPITAL, LLC"
SBRT,MURIEL SIEBERT & CO INC
MURF,MURPHY & DURIEU
MJDW,"Murray Securities, Inc."
MOIS,"MUTUAL OF OMAHA INVESTOR SERVICES, INC."
CBOL,"MUTUAL SECURITIES, INC"
MLPL,MUTUAL SERVICE CORPORATION
MUSC,MUTUAL SERVICE CORPORATION
MTCA,MUTUAL TRUST CO. OF AMERICA SECURITIES
MVSG,"MV SECURITIES GROUP, INC."
MWAF,MWA FINANCIAL SVCS INC
HAHN,"N. HAHN & CO., INC."
ZOUL,"N.B. ZOULLAS SECURITIES, INC."
NACM,NABSECURITIES LLC
NAFA,"NAFA CAPITAL MARKETS, LLC"
NBAR,"NANCY BARRON & ASSOCIATES, INC."
NDCM,"NANES, DELORME CAPITAL MANAGEMENT LLC"
NDMO,NASD TEST
NQMO,NASDAQ TEST
NACL,NATIONAL ALLIANCE SECURITIES CORPORATION
NFSC,NATIONAL FINANCIAL SERVICES LLC
JNFS,NATIONAL PLANNING CORP
NATL,NATIONAL SECURITIES CORP.
NAPK,NATIONAL SECURITIES CORPORATION
NFGR,NATIONS FINANCIAL GRP
NPAI,"NATIONWIDE PLANNING ASSOCIATES, INC."
SEVN,"NATIONWIDE SECURITIES, LLC"
ABLE,"NATIXIS  BLEICHROEDER, LLC"
IXIS,NATIXIS SECURITIES NORTH AMERICA INC.
PHRS,NAVAID FINANCIAL SERVICES INC.
NVGT,NAVIGATE ADVISORS
NFBS,"NAVY FEDERAL BROKERAGE SERVICES, LLC."
NBCS,"NBC SECURITIES, INC."
NDXT,NDX TRADING INC.
NTBC,"NEIDIGER/ TUCKER/ BRUNER, INC."
UFSM,NELNET CAPITAL LLC
NELS,"NELSON SECURITIES, INC."
TIGC,"NELSONREID, INC."
NSRD,"NESTLERODE & LOY, INC."
NETH,NETHERLAND SEC INC
NETW,NETWORK 1 FINANCIAL SECURITIES INC.
NTFN,NETWORK 1 FINANCIAL SECURITIES INC.
NBLB,"NEUBERGER BERMAN, LLC"
NEUB,"NEUBERGER BERMAN, LLC"
NABC,"NEW ALLIANCE INVESTMENTS, INC."
NESS,NEW ENGLAND SECURITIES
NHMG,NEW HORIZONS ASSET MANAGEMENT GROUP
BRGE,NEWBRIDGE SECURITIES
NUBG,NEWBRIDGE SECURITIES CORPORATION
NSCB,NEWBURY STREET CAPITAL PARTNERSHIP LTD.
NWCT,"NEWCOURT SECURITIES, LTD"
FMAT,"NEWEDGE USA, LLC"
NEWO,"NEWOAK CAPITAL MARKETS, LLC"
NCSI,"NEWPORT COAST SECURITIES, INC."
NWPT,NEWPORT SECURITIES CORPORATION
NFSI,"NEXITY FINANCIAL SERVICES, INC."
NEXT,NEXT FINL GRP INC
PSII,NFP SEC
NIAS,NIA SEC LLC
NICL,NICOL INVESTORS CORPORATION
NOBL,"NOBLE INTERNATIONAL INVESTMENTS, INC."
NMRA,"NOMURA SECURITIES INTERNATIONAL, INC."
NFLK,"NORFOLK MARKETS, LLC"
NOAS,NORTH ATLANTIC SECURITIES LLC
NRSC,NORTH RIDGE SECURITIES CORP
OAKF,NORTH SEA SECURITIES LP
NOSO,NORTH SOUTH CAPITAL LLC
ABYL,"NORTH STAR INVESTMENT SERVICES, INC."
NECM,NORTHEAST CAPITAL MARKETS CORP
NESC,"NORTHEAST SECURITIES, INC."
NORC,NORTHERN CAP SEC CORP
NTRC,"NORTHERN TRUST SECURITIES, INC."
WINE,NORTHGATE SECURITIES INC.
NORT,"NORTHLAND SECURITIES, INC."
NPNT,"NORTHPOINT TRADING PARTNERS, LLC"
NSFP,NORTHSTAR FINL PTNRS INC
NSTR,"NORTHSTAR GROUP, INC"
NWIA,NORTHWEST INVESTMENT ADVISORS
NWML,NORTHWESTERN MUTUAL INVMT SVS LLC
FPRI,"NPA FINANCIAL SERVICES, INC"
NPBF,"NPB FINANCIAL GROUP, LLC"
NSMS,"NSM SECURITIES, INC."
NTMG,"NUTMEG SECURITIES, LLC"
NTMW,"NUTMEG SECURITIES, LLC"
NVEN,"NUVEEN INVESTMENTS, LLC"
NWCM,NW CAPITAL MARKETS INC.
NYLS,NYLIFE SECURITIES
NYPP,"NYPPE, LLC"
OBSH,"O'BRIEN & SHEPARD, INC."
OCON,O'CONNOR & COMPANY SECURITIES INC.
ONEL,"O'NEIL SECURITIES, INC."
OHSI,"OAK HILLS SECURITIES, INC."
OTSB,OAK TREE SEC INC
OBTG,OAKBROOK INVMT  BRKS INC
OFCC,OBERLIN FINL CORP
OBWS,OBERWEIS SECURITIES
OBEX,OBEX SEC LLC
GLBZ,"OBS BROKERAGE SERVICES, INC."
GSCL,"OBSIDIAN FINANCIAL GROUP, LLC"
OFGL,"OBSIDIAN FINANCIAL GROUP, LLC"
OCSI,"OC SECURITIES, INC."
ATTR,"ODD LOT BONDS, INC."
ODNC,ODEON CAPITAL GROUP
OFGF,OFG FINL SVSINC
OTSC,OGILVIE SEC ADVISORS
JBLW,"OHANESIAN / LECOURS, INC."
OLMM,OLMSTED & MULHALL INC
OLMP,"OLYMPUS SECURITIES, LLC"
OMSL,OM SECURITIES LLC DBA/TRADE MONSTER
HARD,"OMEGA SECURITIES, INC."
OMNV,OMNIVEST INCORP
AULC,"ONE AMERICA SECURITIES, INC"
OPCO,OPPENHEIMER &CO. INC.
EZOP,"OPTIONSHOUSE, LLC"
OXPS,"OPTIONSXPRESS, INC."
ORTL,ORIENTAL FINANCIAL SERVICES CORP.
OREO,"ORION TRADING, LLC"
OGRU,OSCAR GRUSS & SONS INCORPORATED
OSHM,OSHIMA & ASSOCIATES
OTAA,OTA LLC
POPP,"P. OPPENHEIMER & ASSOCIATES, INC."
PRGA,P.R. GIILBOY & ASSOC INC
HZIG,P.R.HERZIG & CO. INC
PAMS,"PACIFIC AMERICAN SECURITIES, LLC"
PISC,PACIFIC INVTMT SEC CORP
PACW,PACIFIC WEST SEC INC
PACK,"PACKERLAND BROKERAGE SERVICES, INC."
GTRN,"PAINTER, SMITH AND GORIAN INC."
DPAA,"PALMIERI, ANGNARDO & CO"
PLMA,PALOMA SECURITIES LLC
NORP,PARETO SECURITIES INC
FJRF,"PARITER SECURITIES, LLC"
PASC,PARK AVE SECURITIES
DJRC,"PARTNERS INVESTMENT NETWORK, INC."
PVSI,PARTNERVEST SEC INC
PATT,"PATRICK CAPITAL MARKETS, LLC"
PAUL,"PAULSON INVESTMENT COMPANY, INC."
PCDN,"PCS DUNBAR SECURITIES, LLC"
PCCA,PEACHTREE CAPITAL CORPORATION
BOBO,"PENATES GROUP, INC."
PENC,PENROD AND COMPANY
PNSA,PENSERRA SECURITIES
PFSI,PENSON FINANCIAL SERVICES
PFCL,"PENSON FINANCIAL SERVICES, INC."
PPLE,PEOPLES'S SEC INCORP
PERZ,PERAZA CAPITAL AND INVMT LLC
PERC,PERCIVAL FINL PTNRS CORP
BBNI,"PERFORMANCE TRUST CAPITAL PARTNERS, INC."
PERK,"PERKINS, SMART & BOYD, INC."
PASL,"PERSHING ADVISOR SOLUTIONS, LLC"
BHFS,PERSHING LLC
PERS,PERSHING LLC
ELSH,PETER ELISH INVESTMENTS SECURITIES
PRMC,PETER R MACK AND CO
PETI,"PETERSEN INVESTMENTS, INC."
FLGR,"PFLUEGER & BAERWALD, INC."
PHDC,PHD CAPITAL
FRTH,PHILADELPHIA BROKERAGE
PHIN,"PHILADELPHIA INVESTORS, LTD."
PHCO,PHILLIPS & COMPANY SECURITIES INC.
PHXP,"PHOENIX DERIVATIVES GROUP, LLC"
PICK,PICKERING ENERGY PARTNERS
PICT,PICTET OVERSEAS INC
PPSL,"PIERPONT SECURITIES, LLC"
FRWY,"PINNACLE CAPITAL MARKETS, LLC."
PINF,PINNACLE FINANCIAL GROUP
PINA,PINNACLE INVTS
PIPR,PIPER JAFFRAY & CO.
PLTF,"PLACE TRADE FINANCIAL, INC."
IRMD,PLANMEMBER SECURITIES CORPORATION
PICC,"PLANNED INVESTMENT CO., INC."
CASH,"PLANNER SECURITIES, LLC"
PMAS,"PMA SECURITIES, INC."
PMKS,"PMK SECURITIES & RESEARCH, INC."
PNCM,PNC CAPITAL MARKETS LLC
NATY,PNC INVESTMENTS LLC
PERM,PNC INVESTMENTS LLC
PNCC,PNC INVESTMENTS LLC
PNCI,PNC INVESTMENTS LLC
PODE,PODESTA & CO
CUNN,"POINT CAPITAL MARKETS, LLC"
PTAL,"POINTE ATLANTIC, INC."
PICI,"POLAR INVESTMENT COUNSEL, INC."
POPS,"POPULAR SECURITIES, INC."
PAAI,PORTFOLIO ADVISORS ALLIANCE INC
PBSI,PORTFOLIO BROKERAGE SERVICES INC.
PRGI,"PORTFOLIO RESOURCES GROUP, INC."
PMFS,PORTSMOUTH FINANCIAL SVCS
POTO,POTOMAC INVESTMENT COMPANY
PPAI,PPA INVMTS
PFCG,"PREFERRED CLIENT GROUP, INC."
PRSB,"PRESIDENTIAL BROKERAGE, INC."
DSSI,PRESIDIO FINANCIAL
JLEO,"PRIMARY CAPITAL, LLC"
PMCS,"PRIME CAPITAL SERVICES, INC"
STLR,"PRIMESOLUTIONS SECURITIES, INC."
BANK,PRIMEVEST FINANCIAL SERVICES
PMMX,PRIMEX
PRIN,"PRINCIPLE ADVISORS, INC."
PFSM,PRINCOR FINL SVS CORP
TPCP,"PRITCHARD CAPITAL PARTNERS, LLC"
PCSB,"PRIVATE CLIENT SERVICES, LLC"
PRPO,PRIVATE PORTFOLIO
PROE,PROEQUITES INC
PRAS,PROFESSIONAL ASSET MANAGEMENT
PAMI,PROFESSIONAL ASSET MGMT
PFFI,"PROFINANCIAL, INC."
PRLL,PROGRESS INVESTMENTS
PAMC,"PROGRESSIVE ASSET MANAGEMENT, INC."
ADSO,PROSPERA FINANCIAL SERVICES
PROT,PROTECTED INVESTORS OF AMERICA
PSIN,PROVIDENT SEC & INVMT CO/DI OF RED CAP M
PRUC,PRUCO SECURITIES CORP.
PGSL,"PRUDENTIAL BACHE SECURITIES, LLC"
PIMS,PRUDENTIAL INVESTMENT MANAGEMENT SVCS
PSAE,PSA EQUITIES INC
PTIS,PTI SECURITIES & FUTURES L.P.
PULT,PULSE TRADING LLC
PUMA,PUMA CAPITAL LLC
PUMP,PUMPHREY SECURITIES
PUPL,"PUPLAVA SECURITIES, INC."
PURB,"PURITAN BROKERAGE SERVICES, INC"
SARG,"PURSHE KAPLAN STERLING INVESTMENTS, INC."
PURS,PURSUIT PARTNERS
PTLV,PUTNAM LOVELL NBF SECURITIES INC.
PROG,PUTNAM RETAIL MANAGEMENT LIMITED PARTNER
PWAS,"PWA SECURITIES, INC."
MPWA,"PWMCO, LLC"
QAFC,QA3 FINANCIAL CORP.
IFSL,QA3 FINL CORP
QUAL,QUAYLE AND CO. SECURITIES
QRSC,QUEENS RD SEC LLC
QUEC,QUEST CAP STRATEGIES INC
QUES,QUEST SEC INC
POOH,QUESTAR CAP  CORP
QCAS,QUINCY CASS ASSOCIATES
QUOI,QUOIN CAPITAL LLC
ECHI,R & R PLANNING GROUP LTD
SEEL,"R. SEELAUS & CO., INC."
LAFF,"R.F. LAFFERTY & CO., INC."
LAFB,"R.F. LAFFERTY & COMPANY, INC"
DCAN,R.M. DUNCAN SEC INC
RTJC,R.T. JONES CAPITAL EQUITIES INC.
RWPS,R.W. PRESSPRICH AND CO
RWSM,"R.W. SMITH & ASSOCIATES, INC."
TOWT,R.W. TOWT & ASSOCIATES
RABO,RABO SECURITIES USA INC
RCME,RAFFERTY CAPITAL MARKETS
RCMP,RAFFERTY CAPITAL MARKETS
JJKS,RAFFERTY CAPITAL MARKETS LLC
RCMI,RAFFERTY CAPITAL MARKETS LLC
JJKE,"RAFFERTY CAPITAL MARKETS, LLC"
RCML,"RAFFERTY CAPITAL MARKETS, LLC"
RAIN,"RAINIER SECURITIES, LLC"
RAIT,"RAIT SECURITIES, LLC"
RTCP,"RAIT SECURITIES, LLC"
RMAT,RAMAT SECURITIES LTD.
RJLU,RAYMOND JAMES (USA) LTD.
RJFI,RAYMOND JAMES & ASSOCIATES
RJFS,RAYMOND JAMES FINL SVS
RAJA,"RAYMOND, JAMES & ASSOCIATES, INC."
DCSD,RBC CAPITAL MARKETS LLC
RBCD,RBC CAPITAL MARKETS LLC
RBDA,RBC CAPITAL MARKETS LLC
CAPM,"RBS SECURITIES, INC"
RCAP,"RCAP SECURITIES, INC."
RDCG,"RD CAPITAL GROUP, INC."
RDSS,RD SC LLC
RDMI,RDM INVESTMENTS
REWI,REDWINE & CO
RGLD,"REGAL SECURITIES, INC."
REGR,"REGISTER FINANCIAL ASSOCIATES, INC."
RETA,"REICH & TANG DISTRIBUTORS, INC."
RRUD,REID & RUDIGER LLC
REID,REID AND ASSOCIATES
RWWI,"RELIANCE WORLDWIDE INVESTMENTS, LLC"
RENC,RENCAP SECURITIES INC
RENS,RENSSELAER SECURITIES CORPORATION
RPEX,REPEX & CO INC.
RFSC,"RESIDENTIAL FUNDING SECURITIES, L.L.C."
RHGL,RESOUCE HORIZONS GROUP LLC
RRIC,RETIREMENT RESOURCES INVESTMENT CORP.
REUV,REUVEN ENTERPRISES SECURITIES DIVISION
KART,REVERE SECURITIES CORPORATION
KNOX,RG KNOX COMPANY
RHDS,RHODES SEC INC
APEX,RICE FINANCIAL PRODUCTS COMPANY
RMPI,"RICHARDS, MERRILL & PETERSON, INC."
ROII,"RICHFIELD ORION INTERNATIONAL, INC."
RIDG,RIDGEWAY & CONGER INCORP
RWCI,"RIDGEWAY & CONGER, INC."
RGWD,RIDGEWOOD ASSOCIATES INC.
RIED,RIEDL FIRST SEC CO OF KANSAS
ROCM,RIM SECURITIES LLC
RSWM,"RIVERSTONE WEALTH MANAGEMENT, INC."
RLCO,"RIVES, LEAVELL & CO"
BCLT,RIVIERE SECURITIES LTD.
RJJZ,"RJJ PASADENA SECURITIES, INC."
RMST,RM STARK & CO INC
SNTE,RMN SEC INC
ROBS,ROBBINS SEC
MDTH,ROBERT M MEREDITH AND CO
RRII,ROBERTS & RYAN INVESTMENTS INC.
ROBI,ROBINSON & ROBINSON INC
RLUK,"ROBINSON AND LUKENS, INC."
ROBT,"ROBOTTI & COMPANY, LLC"
ROCH,ROCHDALE SECURITIES LLC
RCKF,"ROCKFLEET FINANCIAL SERVICES, INC."
ROCK,ROCKWELL GLOBAL CAPITAL LLC
ROBO,RODGERS BROTHERS INC
RODM,"RODMAN & RENSHAW, LLC"
ADSD,"ROGAN & ASSOCIATES, INC."
ROMO,ROMANO BROS. & CO.
RSAI,"ROSS, SINCLAIRE & ASSOCIATES, LLC"
ROTH,"ROTH CAPITAL PARTNERS, INC."
RTHS,ROTHSCHILD SECURITIES CORPORATION
RAAI,"ROYAL ALLIANCE ASSOCIATES, INC."
ROYL,"ROYAL ALLIANCE ASSOCIATES, INC.        ("
RYAL,ROYAL SECURITIES COMPANY
RAFI,RSG CAPITAL CORP.
RCSK,"RUANE, CUNNIFF & GOLDBARB LLC"
RMCI,"RUSHMORE CAPITAL, INC."
RSSE,"RUSSELL IMPLEMENTATION SERVICES, INC."
RFAI,"RYAN FINANCIAL, INC."
SPIV,"S & P INVESTORS, INC."
SGCL,"S. GOLDMAN CAPITAL, LLC"
PARK,"S.C. PARKER & CO., INC."
SFPS,S.F. INVESTMENTS
SGLC,S.G. LONG & COMPANY
SLRD,S.L. REED & CO
SABS,"SABADELL SECURITIES USA, INC."
ASCZ,"SAFEGUARD SECURITIES, INC"
SSCO,SAFRA SECURITIES LLC
SSEI,"SAGE SOUTHEASTERN SECURITIES, INC."
SAGE,"SAGE, RUTTY & CO., INC."
AIGF,"SAGEPOINT FINANCIAL, INC."
ITCC,SAL FINL SVS INC
SALO,"SALOMON WHITNEY, LLC"
SRAM,"SAMCO CAPITAL MARKETS, INC."
SAMS,SAMMONS SECS CO LLC
RRPR,"SAMUEL A. RAMIREZ & CO., INC."
RREZ,"SAMUEL A. RAMIREZ & COMPANY, INC."
UMAS,SAMUELS CHASE & CO INC
SMHI,SANDERS MORRIS HARRIS INC.
GRIN,SANDGRAIN SEC INCORP
SGSI,"SANDGRAIN SECURITIES, INC."
SDLR,"SANDLER O'NEILL & PARTNERS, L.P."
BERN,"SANFORD C. BERNSTEIN & CO., LLC"
SANT,SANTANDER INVESTMENT SECURITIES INC.
SSPR,SANTANDER SEC CORP
SAPA,SAPERSTON ASSET MANAGEMENT INC.
INCC,"SATURNA BROKERAGE SERVICES,INC."
SDIC,SAUER DAZEY INVESTMENT CO.
SAXO,"SAXONY SECURITIES, INC."
SCAR,SCARSDALE EQUITIES LLC
SCFA,"SCF SECURITIES, INC."
SCMC,SCOTIA CAPITAL MARKETS
BBNT,SCOTT & STRINGFELLOW LLC
SJGM,SCOTT JAMES GRP INC
SCTO,"SCOTTRADE, INC."
SSIC,"SCOTTRADE, INC."
JOHN,SCOTTSDALE CAPITAL ADVISORS CORP
SCAI,SCOTTSDALE CAPITAL ADVISORS CORP
SCST,"SEACOAST INVESTOR SERVICES, INC."
SEPN,"SEAPINE SECURITIES, LLC"
SPGS,SEAPORT GROUP SEC
SEAP,SEAPORT SECURITIES CORP.
SERL,SEARLE & CO.
SNSC,SEATTLE NORTHWEST SECS CORP
GRDK,"SECONDMARKET, INC."
SEBS,SECU BROKERAGE SERVICES
MAMA,SECUREVEST FINANCIAL GROUP
SIAN,SECURIAN FINANCIAL SERVICES INC.
SAIN,"SECURITIES AMERICA, INC."
MASJ,SECURITIES CAPITAL CORPORATION
DOVE,SECURITIES EQUITY GROUP
SSNI,"SECURITIES SERVICE NETWORK, INC."
SECD,"SECURITIY DEALERS GUILD, INC."
SCTI,"SECURITY CAPITAL BROKERAGE, INC."
SCFI,SECURITY CHURCH FINANCE
SRFL,SECURITY RESEARCH ASSOCIATES INC.
SRES,"SECURITY RESEARCH ASSOCIATES, INC."
SEIC,SEI INVESTMENTS DISTRIBUTION CO.
SBSC,SEIBT FINL SVS
DAVW,SEIDEL & SHAW LLC
SEID,"SEIDEL & SHAW, LLC"
EMPR,"SELKIRK INVESTMENTS, INC."
SMZA,SEMAZA SECURITIES LLC
SEMT,SEMINOLE FINANCIAL
SEND,"SENDERO SECURITIES, LLC"
SEBR,SENTINEL BROKERS COMPANY INC.
SCTL,SENTINEL SECURITIES INC
SEQU,"SEQUOIA INVESTMENTS, INC."
SESL,SESLIA SECURITIES
SSGI,"SETON SECURITIES GROUP, INC."
SEVP,"SEVEN POINTS CAPITAL, LLC"
SFSS,"SF SENTRY SECURITIES, INC."
SGAS,SG AMERICAS SECURITIES LLC
SFSD,"SHARE FINANCIAL SERVICES, INC."
SSGR,"SHAREHOLDERS SERVICE GROUP, INC."
SHAW,SHAW (D.E.) SECURITIES LLC
SHAY,SHAY FINL SEC INC
RACO,"SHEARMAN, RALSTON INC"
DAVI,"SHELBY CULLOM DAVIS & CO., LP"
SSAI,"SHINHAN INVESTMENT AMERICA, INC"
SHTB,"SHORELINE TRADING GROUP, LLC"
SHTG,"SHORELINE TRADING GROUP, LLC"
SHRE,"SHUFRO, ROSE & CO"
TEQU,SICOR SECURITIES INC
SIGM,SIGMA FINANCIAL CORPORATION
SGNL,"SIGNAL SECURITIES, INC."
JHDI,SIGNATOR INVESTORS INC
SSGC,SIGNATURE SECURITIES GROUP
SIIW,SII INVESTMENTS INC
SVSI,SILICONVALLEY SEC
SIMM,SIMMONS & COMPANY INTERNATIONAL
SIGI,SIMMONS FIRST INVESTMENT GROUP
SSNG,SISUNG SECURITIES CORP.
SLHC,"SL HARE CAPITAL, INC."
SLAV,SLAVIC INVMT CORP
SLOA,SLOAN SECURITIES CORP.
SLON,SLOAN SECURITIES CORP.
SUMI,"SMBC NIKKO SECURITIES AMERICA, INC"
SMIT,"SMITH ASSET MANAGEMENT, INC."
SHFS,"SMITH HAYES FINANCIAL SERVICES, INC."
SGBI,"SMITH, BROWN, AND GROOVER, INC."
SMMO,"SMITH, MOORE & CO."
AFSL,SORRENTO PACIFIC FINANCIAL LLC
SORS,SORSBY FINANCIAL CORP.
SCML,SOUND CAPITAL MANAGEMENT LLC
SORE,"SOURCE CAPITAL GROUP, INC."
ETLD,SOUTH VALLEY WEALTH MANAGEMENT
SEIN,"SOUTHEAST INVESTMENTS, N.C., INC."
SPSC,"SOUTHERN PACIFIC SECURITIES, INC."
SLAK,SOUTHLAKE CAPITAL
GFLD,"SOUTHRIDGE INVESTMENTS GROUP, INC."
SWST,"SOUTHWEST SECURITIES, INC."
SCMT,SOUTHWESTERN CAP MKTS
SOUZ,"SOUZA BARROS SECURITIES, INC"
SPRC,"SPARTAN CAPITAL SECURITIES, LLC"
MICA,SPARTAN SEC GRP LTD
SAMI,"SPECTRUM ASSET MGMT, INC."
SPCA,SPECTRUM CAP INC
SPEN,SPENCER CLARKE LLC
SPIN,SPENCER EDWARDS INC
STSI,"SPENCER-TRASK SECURITIES, INC."
SPWI,SPENCER-WINSTON SECURITIES CORPORATION
SPLC,"SPIRE SECURITIES, LLC"
SZRO,SPREADZERO LLC
SSPT,SPRING STREET PARTNERS L.P.
SPYG,"SPYGLASS SECURITIES, LLC"
SRPR,SRM SEC INC
KEEN,"ST. BERNARD FINANCIAL SERVICES, INC."
DJST,"ST. GERMAIN SECURITIES, INC."
SCFL,"STANCHART SECURITIES INTERNATIONAL, INC"
SCBS,STANDARD CHARTERED SECURITIES (NORTH AME
SCSI,"STANDARD CREDIT SECURITIES, INC."
STVT,STANDARD INVESTMENT CHARTERED INCORPORAT
SSBS,"STATE STREET GLOBAL MARKETS, LLC"
SSLL,"STATE STREET GLOBAL MARKETS, LLC"
SSGM,"STATE STREET GLOBAL MARKETS,LLC"
STTR,STATE TRUST INVESTMENTS INC.
SAKL,STEPHEN A. KOHN & ASSOC. INC.
SPHN,"STEPHENS, INC."
SEGI,"STERLING ENTERPRISES GROUP, INC."
SMSL,"STERLING MONROE SECURITIES, LLC"
STSM,STERLING SMITH CORP
SAFS,"STERN AGEE FINANCIAL SERVICES, INC"
SBRO,STERN BROTHERS & CO
STRN,STERN BROTHERS & CO
SFEI,STERN FISHER EDWARDS INC
NCPI,"STERNE, AGEE & LEACH, INC."
SALC,"STERNE, AGEE & LEACH, INC."
SALI,"STERNE, AGEE, & LEACH, INC."
FALK,STEVEN L FALK & ASSOC INC
TWPT,"STIFEL NICOLAUS & CO., INC."
TWPL,STIFEL NICOLAUS AND COMPANY
STFL,"STIFEL, NICOLAUS & CO. INCORP."
STIN,"STINSON SECURITIES, LLC"
SKTR,STOCK TRADERS
SPTD,"STOCK USA EXECUTION SERVICES, INC."
STOS,STOCKCROSS FINANCIAL SERVICES
STOX,"STOCKCROSS FINANCIAL SERVICES, INC."
STXG,"STOCKCROSS FINANCIAL SERVICES, INC."
STOV,STOEVER GLASS & CO INCORP
SZZI,"STOFN, AGAZZI & CO"
STYO,STONE & YOUNGBERG LLC
STNE,STONE SECURITIES CORPORATION
