MPID,Description
BGSG,"BGS & G INVESTMENT SERVICES, INC."
BHKS,BHK SECURITIES LLC.
BFIB,BIANCO FINANICAL INC
BFEW,"BILL FEW SECURITIES, INC."
BGIA,BIONDO ASSET MANAGEMENT LLC
BRKE,BIRKELBACT INV SEC I NC
BISH,"BISHOP, ROSEN & CO., INC."
BGIS,BLACKROCK EXECUTION SERVICES
WBLR,BLAIR (WILLIAM) & COMPANY L.L.C.
EDSB,BLAKESLEE & BLAKESLEE INC.
BRVL,"BLAYLOCK ROBERT VAN, LLC"
BLAY,BLEY INVESTMENT GROUP
BKKY,BLOCK KELLY CO
BLIO,BLOOMBERG L.P
BCSB,"BLUE CAPITAL SECURITIES, INC."
ITFS,"BLUE CREEK SECURITIES, INC."
BBAY,BLUEBAY CAP LTD
BCSI,"BLUECHIP SECURITIES, INC."
BSLP,"BLUFFVIEW SECURITIES, L.P."
BMOC,BMO CAPITAL MARKETS CORP.
GKST,BMO CAPITAL MARKETS GKST INC
NBSL,"BMO NESBITT BURNS SECURITIES, LTD"
BNPC,"BNP PARIBAS INVESTMENT SERVICES, LLC"
BNPS,BNP PARIBAS SECURITIES CORP.
PARI,BNP PARIBAS SECURITIES CORP.
ECUT,"BNY CONVERGEX EXECUTION SOLUTIONS, LLC"
BKCM,BNY MELLON CAPITAL MARKETS LLC
BOLL,BODELL OVERCASH ANDERSON & CO INC
BOSE,BOE SECURITIES INC.
BOSC,"BOENNING & SCATTERGOOD, INC."
BLTN,BOLTON SECURITIES CORPORATION
BDDK,BONDDESK TRADING LLC
BDTR,BONDDESK TRADING LLC
BNDS,"BONDS.COM, INC."
BOKF,"BOSC, INC."
BMFS,"BOSTON MERCHANT FINANCIAL SERVICES, INC"
BGSL,"BOSTONIA GLOBAL SECURITIES, LLC"
BNMI,"BOZARTH,NEWTON & MURPHY SECURITIES INC."
BZPI,"BPU INVESTMENT GROUP, INC."
BRSE,"BRADESCO SECURITIES, INC."
BRAV,"BRAVER, STERN SECURITIES CORP."
BLNS,"BRAYMEN, LAYMEN NOEL SECURITIES, LTD"
BRAZ,BRAZOS SECS INC
BMUR,"BREAN MURRAY, CARRET & CO., LLC"
CRRT,"BREAN MURRAY, CARRET & CO., LLC."
BFSL,BRIGGS-FICKS SEC
BGHT,BRIGHTON SECURITIES CORP.
BRIL,BRILL SECURITIES INC
BRIM,BRIMBERG & CO.
BRNK,BRINKER CAP SEC INC
BRFI,"BRISTOL FINANCIAL SERVICES, INC."
BRIT,BRITTINGHAM INC
BWAL,BROADWALL CAPITAL LLC
BROC,BROCKHOUSE & COOPER INC
BKFC,BROKER DEALER FINANCIAL SERVICES CORP
IDAY,BROKERAGESELECT
BIFS,BROKERS INTERNATIONAL FINANCIAL SERVICES
BRXP,BROKERSXPRESS LLC
BRGI,BROOKFIELD CAP COR
RSIC,"BROOKSTONE SECURITIES, INC."
BKVW,BROOKVIEW CAPITAL LLC
NCFS,BROOKVILLE CAPITAL PARTNERS LLC
BRBR,BROWN & BROWN SEC INC
BSEC,BROWN ADVISORY SEC
BWNA,"BROWN ASSOCIATES, INC."
BBHC,BROWN BROTHERS HARRIMAN & CO
BRLI,BROWN LISLE/CUMMINGS
BIGG,BROWNSTONE INVESTMENT GRP LLC
BALS,"BRUCE A. LEFAVI SECURITIES, INC."
PACT,BTG PACTUAL US CAPITAL CORP
BTIS,"BTIG, LLC"
BBRF,"BUCKMAN, BUCKMAN & REID,  INC"
BKRT,"BUCKMAN, BUCKMAN & REID, INC."
BUCS,BUCKRAM SECURITIES LTD
BUEL,BUELL SECURITIES CORP
BOBS,BULLISH BOB BAGLEY SECS INC
BLTS,"BULLTICK SECURITIES, INC."
BLTK,"BULLTICK, LLC"
BURC,BURCH & CO INC
BURK,"BURKE, LAWTON, BREWER & BURKE, LLC"
BRNM,"BURNHAM SECURITIES, INC."
BPWP,BUTTONWOOD PARTNERS INC
KING,C.L. KING & ASSOCIATES INC
CPBC,C.P. BAKER SEC INC
CRDC,C.R. DAVIS & COMPANY
CABR,"CABRERA CAPITAL MAKETS, INC."
CGAT,"CADARET, GRANT & CO., INC."
CBCI,CAIN BROTHERS & CO
CISC,CALDWELL INTERNATIONAL SECURITIES CORP
CALD,"CALDWELL SECURITIES, INC."
CALL,CALLAWAY FINL SVS INC
CALT,CALTON & ASSOC
CAMC,"CAMBRIA CAPITAL, LLC"
CBSE,CAMBRIDGE INTNTL SEC
CIRI,CAMBRIDGE INVT RSCH
CLSC,"CAMBRIDGE LEGACY SECURITIES, L.L.C."
ARGU,CAMELOT INVESTMENT ADVISERS LTD
DONA,"CAMERON, MURPHY, AND SPANGLER"
ADAM,CANACCORD GENUITY INC.
NRAM,CANACCORD WEALTH MANAGEMENT (USA) INC.
CTLA,CANTELLA AND CO
CTBY,"CANTERBURY CAPITAL SERVICES, INC."
CANR,CANTONE RESEARCH INC.
CFCO,CANTOR FITZGERALD (CFCO)
CSPD,CANTOR FITZGERALD & CO.
CANT,"CANTOR, FITZGERALD & CO., INC."
CAPB,CAP INV BROKERAGE INC
CISE,CAP INVTMT SVS INC
CMSI,CAP MGMET SEC INC
CAPE,CAPE SECURITIES
CAPP,"CAPFINANCIAL PARTNERS, LLC"
CCII,"CAPITAL & CREDIT INTERNATIONAL, INC."
CAPI,CAPITAL ANALYSTS INC
CAPC,"CAPITAL CITY SECURITIES, LLC"
CAPF,CAPITAL FINANCIAL SERVICES INC
WALT,CAPITAL GROWTH RESOURCES
CGDN,"CAPITAL GUARDIAN, LLC"
CIST,CAPITAL INSTITUTIONS SVCS INC
CAPG,CAPITAL INVESTMENT GROUP INC
COMP,CAPITAL ONE INVESTMENT SERVICES CORP.
SOCO,"CAPITAL ONE SOUTHCOAST, INC"
PATH,CAPITAL PATH SECURITIES LLC
CPMI,"CAPITAL PORTFOLIO MANAGEMENT, INC."
CSIC,CAPITAL SECS INVESTMENT CORP
CSPI,CAPITAL SYNERGY PARTNERS
HSCO,"CAPITOL SECURITIES & ASSOCIATES, INC."
CSCV,"CAPITOL SECURITIES MANAGEMENT, INC"
CSMI,"CAPITOL SECURITIES MANAGEMENT, INC."
MITC,CAPNET SECURITIES CORPORATION
CLSI,CAPROCK SEC INC
CSAS,"CAPSTONE GLOBAL MARKETS, LLC"
CPST,CAPSTONE INVTMTS
ROGO,"CAPWEALTH INVESTMENT SERVICES, LLC"
CPWS,"CAPWEST SECURITIES, INC."
CRDL,CARDINAL INVESTMENTS INC
HOOV,"CAREY, THOMAS, HOOVER, AND BREAULT, INC."
CRIS,"CARIS & COMPANY, INC."
HENN,CARL M HENNING INC
SHRR,CARL P. SHERR & CO LTD LIABILITY CO
CCCO,CARNES CAPITAL CORPORATION
CARC,CAROLINA CAPITAL MARKETS INC
CICL,CAROLINAS INVTMT CONSULTING LLC
CARR,CARR SECURITIES CORPORATION
CATE,"CARTER, TERRY & COMPANY, INC."
CARG,CARTHAGE GRP INC
CART,"CARTY & COMPANY, INC."
CARY,CARY STREET PARTNERS LLC
CASC,CASCADE FINL MANAGEMNT
BJRC,CASCADE INVESTMENT GROUP INC
CCLD,CASGRAIN & CO (USA) LTD
CSMR,"CASIMIR CAPITAL, L.P."
COAK,"CASTLEOAK SECURITIES, LP"
CBFG,"CBG FINANCIAL GROUP, INC."
TURN,"CCM SECURITIES, LLC"
CISV,CCO INVESTMENT SERVICES CORP.
CCSX,"CEDAR CREEK SECURITIES, INC."
SPLN,CELADON FINANCIAL GROUP LLC
CCBD,"CENTARA CAPITAL SECURITIES, INC."
CNFI,CENTAURUS FINL
CTNL,"CENTENNIAL SECURITIES COMPANY, LLC"
MTRS,"CENTER STREET SECURITIES, INC."
CENT,"CENTRAL SECURITIES, LLC"
CTRN,CENTURION SECURITIES CORPORATION
CEPA,"CENTURY PACIFIC SECURITIES, INC."
CSAI,CENTURY SEC ASSOC
CERS,"CEROS FINANCIAL SERVICES, INC."
CFGT,"CF GLOBAL TRADING, LLC"
CFDI,CFD INVESTMENTS
QBSI,CFT SECURITIES.LLC
CGCO,CG COMPASS (USA) LLC
CHPP,CHAPDELAINE & CO.
CHDA,"CHAPIN, DAVIS"
CHDN,CHARDAN CAPITAL MARKETS LLC
CJCO,CHARLES JORDAN & CO LLC
CHAS,"CHARLES SCHWAB & CO., INC."
CVTA,"CHARLES VISTA, LLC"
CISI,CHASE INVESTMENT SERVICES CORP.
CHTS,"CHATSWORTH SECURITIES, LLC"
CHBC,"CHEEVERS & COMPANY, INC."
CFIN,CHELSEA FINANCIAL SERVICES
CHHS,"CHESTER, HARRIS & COMPANY, INC."
CATC,"CHICAGO ANALYTIC TRADING COMPANY, LLC"
CHCK,"CHICKASAW SECURITIES, LLC"
CHIL,"CHILIAN PARTNERS, L.P."
COCE,CHOICE INVESTMENTS
WEIL,CHRISTOPHER WEIL & CO. INC.
CHLC,CHURCHILL CAPITAL USA INC.
CWMK,CIBC WORLD MARKETS CORPORATION
CSLL,CICERONE SECURITIES LLC
CIGC,CIG SECURITIES
CIMS,"CIM SECURITIES, LC"
ICRD,CITADEL SECURITIES LLC
CITA,CITATION FINANCIAL GROUP
CFSC,CITI INTERNATIONAL FINANCIAL SERVICES LL
SALB,CITIGROUP GLOBAL MARKETS INC.
SBSH,CITIGROUP GLOBAL MARKETS INC.
CGWM,"CITIGROUP GLOBAL MARKETS, INC."
CNSI,CITY NATIONAL SEC INC
CITY,CITY SECURITIES CORPORATION
CKCC,CK COOPER & COMPANY
CLAN,"CLANCY FINANCIAL SERVICES, INC."
CLRK,"CLARK DODGE & CO., INC."
BSCI,CLARKESON RESEARCH INC.
CLCI,"CLAYTON LOWELL, & CONGER INC"
CLAG,"CLAYTON,LOWELL, & CONGER, INC"
CLRV,"CLEARVIEW CORRESPONDENT SERVICES, LLC"
CLVU,"CLEARVIEW TRADING ADVISORS, INC."
TGUL,CLEARY GULL INC
COSL,CLIENT ONE SECURITIES LLC
CNBS,"CNBS, LLC"
CNDF,CND FINANCIAL LIMITED
COAS,COASTAL EQUITIES
COST,COASTAL SECURITIES LTD
COBR,"COBURN & MEREDITH, INC."
CDOI,"COHEN & COMPANY SECURITIES, LLC."
COHN,"COHEN & COMPANY SECURITIES, LLC."
CCMT,"COHEN AND COMPANY CAPITAL MARKETS, LLC"
XCSX,COHEN CAPITAL GROUP LLC
COKE,"COKER & PALMER, INC."
CBCB,COLLIER BROWNE & CO.
COLL,COLLINS & CO LLC
CSTI,"COLLINS STEWART, LLC"
STEW,"COLLINS STEWART, LLC"
CPFS,COLONY PARK FINANCIAL SERVICES LLC.
CMCA,COMERICA SECURITIES
CMCE,COMMERCE BROKERAGE SERVICES INCORP
TSRV,"COMMERCE SQUARE TRADING, LLC"
CSCL,"COMMERCE STREET CAPITAL, LLC"
DRKW,"COMMERZ MARKETS, LLC"
CWCF,COMMONWEALTH CHURCH FINANCE
CMMW,COMMONWEALTH FINL NETWK
CMPT,"COMPASS POINT RESEARCH & TRADING, LLC"
CAMS,COMPREHENSIVE ASSET MGMT & SVC INC
RDST,"CONDERA SECURITIES, LLC"
COND,"CONDOR SECURITIES, INC."
CNFR,"CONIFER SECURITIES, LLC"
CONR,CONNORS AND CO INC
ABAS,"CONOVER SECURITIES, CORP."
CFII,"CONSOLIDATED FINANCIAL INVESTMENTS, INC."
